"Orders_Unique","Returns_Unique","Frequency","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Monetory_Value","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Recency_Quantile","Frequency_Quantile","Monetory_Value_Quantile","Y_Income"
2,0,2,171,85.5,0,27,13.5,0,0,392.9,0,0,2.29766081871345,0,"United Kingdom","1",160,0.91,0.43,0.02,406.09
2,0,2,578,289,0,33,21,0,0,1268.13,0,0,2.19399653979239,0,"United Kingdom","0",144,0.89,0.43,0.02,1296.37
2,0,2,3582,1791,0,79,73.5,0,0,3787.12,0,0,1.05726409826912,0,"Norway","0",174,0.96,0.43,0.02,9588.75
3,1,4,194,64.6666666666667,-20,14,5,1,1,354.98,-25,329.98,1.82979381443299,1.25,"United Kingdom","0",144,0.9,0.74,0.76,163.69
3,0,3,266,88.6666666666667,0,37,13,0,0,690.18,0,0,2.59466165413534,0,"United Kingdom","1",60,0.57,0.63,0.02,508.05
7,0,7,783,111.857142857143,0,22,3.85714285714286,0,0,1605.65,0,0,2.05063856960409,0,"United Kingdom","1",20,0.29,0.9,0.02,1283.1
1,0,1,146,146,0,31,31,0,0,255,0,0,1.74657534246575,0,"United Kingdom","0",181,1,0.01,0.02,108.33
61,13,74,17992,294.950819672131,-530,881,25.9344262295082,52,4.30769230769231,38794.74,-4725.82,34068.92,2.15622165406847,8.91664150943396,"EIRE","1",5,0.06,1,1,98389.81
3,0,3,856,285.333333333333,0,66,28,0,0,1576.42,0,0,1.84161214953271,0,"United Kingdom","1",35,0.41,0.63,0.02,581.76
47,18,65,5642,120.042553191489,-56,744,43.6382978723404,40,2.55555555555556,11469.71,-174.65,11295.06,2.03291563275434,3.11875,"United Kingdom","1",0,0.02,1,1,28573.99
3,3,6,1825,608.333333333333,-102,116,46,30,12,3048.84,-271.88,2776.96,1.67059726027397,2.66549019607843,"Germany","1",62,0.58,0.87,0.95,3452.52
5,0,5,486,97.2,0,110,28.2,0,0,783.69,0,0,1.61253086419753,0,"United Kingdom","1",12,0.19,0.82,0.02,1774.21
3,1,4,734,244.666666666667,-48,19,9.33333333333333,2,2,1180.78,-94.8,1085.98,1.60869209809264,1.975,"United Kingdom","0",48,0.49,0.74,0.87,668.18
13,9,22,3486,268.153846153846,-49,133,21,10,1.55555555555556,5514.44,-130.3,5384.14,1.58188181296615,2.65918367346939,"United Kingdom","1",6,0.07,0.99,0.98,11005.6
21,1,22,1484,70.6666666666667,-2,130,8.90476190476191,1,1,3591.12,-8.5,3582.62,2.41989218328841,4.25,"United Kingdom","1",4,0.03,1,0.97,2074.13
1,0,1,165,165,0,9,9,0,0,172.54,0,0,1.04569696969697,0,"United Kingdom","0",181,1,0.01,0.02,115.05
6,1,7,656,109.333333333333,-19,55,11.6666666666667,3,3,945.86,-64.85,881.01,1.44185975609756,3.41315789473684,"United Kingdom","1",23,0.33,0.9,0.84,1867.59
2,0,2,144,72,0,8,4,0,0,256.44,0,0,1.78083333333333,0,"United Kingdom","0",181,1,0.43,0.02,-12.75
3,1,4,566,188.666666666667,-1,51,17,1,1,872.6,-1.25,871.35,1.54169611307421,1.25,"United Kingdom","0",50,0.51,0.74,0.84,1199.62
3,0,3,421,140.333333333333,0,34,12.6666666666667,0,0,1053.61,0,0,2.50263657957245,0,"United Kingdom","0",27,0.37,0.63,0.03,335.2
2,0,2,139,69.5,0,5,2.5,0,0,160.97,0,0,1.15805755395683,0,"United Kingdom","0",181,1,0.43,0.03,196.8
19,5,24,5090,267.894736842105,-81,33,4.89473684210526,15,3.4,9916.65,-202.25,9714.4,1.94826129666012,2.49691358024691,"United Kingdom","1",14,0.21,1,1,16033.95
8,0,8,744,93,0,97,13.375,0,0,2119.55,0,0,2.84885752688172,0,"United Kingdom","1",9,0.15,0.92,0.03,2597.75
3,3,6,897,299,-6,62,22.3333333333333,4,1.33333333333333,1035.27,-164.8,870.47,1.15414715719064,27.4666666666667,"United Kingdom","0",28,0.38,0.87,0.84,536.82
5,1,6,177,35.4,-1,14,4.4,1,1,462.58,-9.95,452.63,2.61344632768362,9.95,"United Kingdom","1",33,0.4,0.87,0.78,0
8,0,8,550,68.75,0,33,6,0,0,2858.7,0,0,5.19763636363636,0,"United Kingdom","0",6,0.09,0.92,0.03,4418.2
4,2,6,467,116.75,-12,46,13.75,4,4,1073.07,-27,1046.07,2.29779443254818,2.25,"United Kingdom","1",34,0.41,0.87,0.86,1609.15
48,19,67,3405,70.9375,-40,599,28.3958333333333,30,1.73684210526316,6739.46,-131.02,6608.44,1.97928340675477,3.2755,"United Kingdom","1",2,0.02,1,0.99,5024.91
1,0,1,19,19,0,5,5,0,0,81.75,0,0,4.30263157894737,0,"United Kingdom","0",181,1,0.01,0.03,99.1
7,1,8,1067,152.428571428571,-5,34,6.71428571428571,3,3,2746.4,-10.65,2735.75,2.57394564198688,2.13,"United Kingdom","0",27,0.37,0.92,0.95,3967.55
7,2,9,725,103.571428571429,-23,31,6,2,1,3111.6,-174.03,2937.57,4.29186206896552,7.56652173913044,"United Kingdom","0",46,0.47,0.94,0.95,5751.82
7,1,8,547,78.1428571428571,-12,23,5,1,1,2676.98,-55.8,2621.18,4.89393053016453,4.65,"United Kingdom","1",11,0.16,0.92,0.94,3802.42
2,0,2,410,205,0,13,9.5,0,0,495.3,0,0,1.2080487804878,0,"United Kingdom","0",169,0.94,0.43,0.03,905.04
6,2,8,899,149.833333333333,-3,72,17.5,2,1,1797.47,-9.65,1787.82,1.99941045606229,3.21666666666667,"United Kingdom","1",4,0.04,0.92,0.92,2275.28
3,0,3,775,258.333333333333,0,125,52.3333333333333,0,0,1042.68,0,0,1.3453935483871,0,"United Kingdom","0",57,0.55,0.63,0.03,1575.47
3,2,5,210,70,-4,15,6,1,1,635.92,-18.6,617.32,3.02819047619048,4.65,"United Kingdom","1",7,0.1,0.82,0.81,672.69
2,1,3,980,490,-36,17,9.5,1,1,2118.96,-75.6,2043.36,2.16220408163265,2.1,"United Kingdom","0",105,0.78,0.63,0.93,2869.05
11,5,16,3521,320.090909090909,-37,71,13.4545454545455,6,1.6,4493.82,-76.95,4416.87,1.27629082646975,2.07972972972973,"United Kingdom","0",8,0.13,0.98,0.98,4157.24
8,0,8,2515,314.375,0,67,10.375,0,0,2121.26,0,0,0.843443339960239,0,"United Kingdom","0",28,0.38,0.92,0.03,2569.05
13,12,25,3037,233.615384615385,-142,82,13.6923076923077,29,3.5,8361.92,-658.28,7703.64,2.75334869937438,4.63577464788732,"Germany","1",12,0.17,1,0.99,11001.88
9,2,11,3600,400,-2,160,31.6666666666667,2,1,4748.59,-7.2,4741.39,1.31905277777778,3.6,"United Kingdom","1",11,0.16,0.96,0.98,2003.97
9,2,11,1726,191.777777777778,-37,127,17.6666666666667,4,2,3340.6,-247.95,3092.65,1.93545770567787,6.70135135135135,"United Kingdom","0",11,0.15,0.96,0.96,2752.79
3,2,5,733,244.333333333333,-26,62,22.3333333333333,2,1,1166.21,-50.3,1115.91,1.59100954979536,1.93461538461538,"United Kingdom","1",21,0.3,0.82,0.87,1307.16
4,3,7,240,60,-10,40,11.75,6,2.66666666666667,1016.6,-65.2,951.4,4.23583333333333,6.52,"United Kingdom","1",5,0.06,0.9,0.85,7.5
3,1,4,745,248.333333333333,-3,58,23,2,2,1173.19,-13.45,1159.74,1.57475167785235,4.48333333333333,"United Kingdom","1",11,0.16,0.74,0.88,2012.3
3,1,4,206,68.6666666666667,-2,31,12.6666666666667,2,2,497.05,-6.3,490.75,2.4128640776699,3.15,"United Kingdom","0",168,0.93,0.74,0.79,924.24
13,1,14,2404,184.923076923077,-9,147,18.4615384615385,2,2,2551.61,-22.25,2529.36,1.06140183028286,2.47222222222222,"United Kingdom","0",21,0.3,0.98,0.94,1545.76
3,0,3,590,196.666666666667,0,41,17.3333333333333,0,0,1445.62,0,0,2.45020338983051,0,"United Kingdom","1",11,0.16,0.63,0.03,2944.19
1,0,1,106,106,0,16,16,0,0,288.5,0,0,2.72169811320755,0,"United Kingdom","0",180,0.99,0.02,0.03,1278.98
3,1,4,429,143,-1,75,34.3333333333333,1,1,1034.13,-5.95,1028.18,2.41055944055944,5.95,"United Kingdom","1",19,0.26,0.74,0.86,3554.04
4,0,4,474,118.5,0,37,9.5,0,0,882.6,0,0,1.8620253164557,0,"United Kingdom","1",11,0.16,0.74,0.03,898.17
4,0,4,487,121.75,0,18,6.25,0,0,640.25,0,0,1.314681724846,0,"United Kingdom","0",53,0.52,0.74,0.03,1360.61
1,0,1,40,40,0,4,4,0,0,127.2,0,0,3.18,0,"United Kingdom","0",180,0.99,0.02,0.03,213.73
10,0,10,2948,294.8,0,52,9,0,0,2957.1,0,0,1.0030868385346,0,"United Kingdom","0",13,0.2,0.95,0.03,3178.28
4,0,4,240,60,0,39,11.5,0,0,500.34,0,0,2.08475,0,"United Kingdom","1",13,0.21,0.74,0.04,548.72
1,0,1,41,41,0,13,13,0,0,199.65,0,0,4.86951219512195,0,"United Kingdom","1",180,0.98,0.02,0.04,164
4,0,4,1376,344,0,84,31,0,0,1759.47,0,0,1.27868459302326,0,"United Kingdom","1",19,0.27,0.74,0.04,1783.04
9,3,12,1610,178.888888888889,-15,38,10.6666666666667,3,1,2613.04,-23.65,2589.39,1.62300621118012,1.57666666666667,"United Kingdom","0",12,0.18,0.97,0.94,2199.38
1,2,3,5,5,-10,2,2,2,2,24.95,-49.9,-24.95,4.99,4.99,"United Kingdom","0",140,0.88,0.63,0.01,1152.52
16,0,16,16515,1032.1875,0,39,4.6875,0,0,13818.13,0,0,0.83670178625492,0,"United Kingdom","0",11,0.16,0.98,0.04,6454.3
9,4,13,369,41,-24,38,6.33333333333333,11,3.25,911.69,-159.31,752.38,2.47070460704607,6.63791666666667,"United Kingdom","1",20,0.28,0.97,0.83,889.1
15,6,21,484,32.2666666666667,-9,94,11.4,8,1.33333333333333,3284.47,-107.75,3176.72,6.78609504132231,11.9722222222222,"United Kingdom","0",13,0.2,0.99,0.96,1464.05
6,0,6,611,101.833333333333,0,55,9.83333333333333,0,0,751.37,0,0,1.22973813420622,0,"United Kingdom","0",25,0.33,0.87,0.04,233.54
1,0,1,102,102,0,48,49,0,0,196.43,0,0,1.92578431372549,0,"United Kingdom","0",180,0.99,0.02,0.04,365.98
1,0,1,195,195,0,35,35,0,0,261.76,0,0,1.34235897435897,0,"United Kingdom","0",180,0.99,0.02,0.04,201.45
3,0,3,315,105,0,17,8.33333333333333,0,0,1035.65,0,0,3.28777777777778,0,"United Kingdom","1",88,0.71,0.63,0.04,1236.75
1,0,1,126,126,0,10,10,0,0,341.9,0,0,2.71349206349206,0,"United Kingdom","0",180,0.99,0.02,0.04,208.16
1,0,1,75,75,0,12,12,0,0,100.2,0,0,1.336,0,"United Kingdom","0",180,0.99,0.02,0.04,1151.64
2,0,2,333,166.5,0,98,52.5,0,0,399.91,0,0,1.20093093093093,0,"United Kingdom","0",54,0.53,0.43,0.04,485.89
6,1,7,3238,539.666666666667,-9360,36,7.66666666666667,1,1,6102.9,-280.8,5822.1,1.88477455219271,0.03,"United Kingdom","0",26,0.36,0.9,0.99,27528.66
8,0,8,758,94.75,0,61,9,0,0,1031.63,0,0,1.36098944591029,0,"United Kingdom","0",55,0.54,0.92,0.04,184.19
4,0,4,925,231.25,0,45,16,0,0,1047.21,0,0,1.13211891891892,0,"United Kingdom","0",19,0.27,0.74,0.04,2944.73
5,0,5,888,177.6,0,39,11,0,0,1512.72,0,0,1.70351351351351,0,"United Kingdom","1",74,0.65,0.82,0.04,1643.11
10,3,13,1579,157.9,-11,118,15,6,2,3419.56,-236.1,3183.46,2.1656491450285,21.4636363636364,"United Kingdom","0",14,0.22,0.97,0.96,7532.85
2,0,2,197,98.5,0,20,13,0,0,386.85,0,0,1.96370558375635,0,"United Kingdom","0",48,0.49,0.43,0.04,575.54
4,1,5,1009,252.25,-2,77,25,1,1,1873.97,-9.9,1864.07,1.85725470763132,4.95,"United Kingdom","0",41,0.44,0.82,0.92,2148.49
29,5,34,15829,545.827586206897,-222,55,8.37931034482759,3,1,30722.92,-184.8,30538.12,1.94092614820898,0.832432432432432,"United Kingdom","1",19,0.27,1,1,23690.62
2,1,3,142,71,-1,18,10,1,1,318.3,-3.75,314.55,2.24154929577465,3.75,"United Kingdom","0",35,0.41,0.63,0.75,274.6
7,1,8,2844,406.285714285714,-2,141,27.1428571428571,2,2,5698.96,-22.7,5676.26,2.00385372714487,11.35,"United Kingdom","1",34,0.4,0.92,0.98,6660.48
3,0,3,286,95.3333333333333,0,125,47.6666666666667,0,0,563.54,0,0,1.97041958041958,0,"United Kingdom","1",166,0.92,0.63,0.04,112.1
4,1,5,365,91.25,-12,82,25,1,1,649.38,-25.2,624.18,1.77912328767123,2.1,"United Kingdom","1",44,0.47,0.82,0.81,107.72
3,0,3,1022,340.666666666667,0,64,25,0,0,1655,0,0,1.61937377690802,0,"United Kingdom","0",100,0.76,0.63,0.04,612.4
4,0,4,611,152.75,0,69,20.5,0,0,687.58,0,0,1.12533551554828,0,"United Kingdom","0",15,0.24,0.74,0.04,1218.51
2,2,4,290,145,-38,26,13,3,1.5,385.33,-52.9,332.43,1.32872413793103,1.39210526315789,"United Kingdom","0",167,0.92,0.75,0.76,312.22
4,0,4,358,89.5,0,30,8.75,0,0,709.82,0,0,1.9827374301676,0,"United Kingdom","0",4,0.05,0.75,0.04,548.24
11,3,14,3026,275.090909090909,-218,83,12.0909090909091,7,2.33333333333333,7904.56,-1236.22,6668.34,2.6122141440846,5.67073394495413,"United Kingdom","1",4,0.04,0.98,0.99,7966.3
1,0,1,384,384,0,20,20,0,0,406.56,0,0,1.05875,0,"United Kingdom","0",180,0.99,0.02,0.04,605.34
39,2,41,3376,86.5641025641026,-49,60,3.43589743589744,2,1,4638.22,-39.5,4598.72,1.37388033175355,0.806122448979592,"United Kingdom","0",4,0.03,1,0.98,6331.54
2,1,3,406,203,-3,151,81,2,2,1272.77,-23.85,1248.92,3.13490147783251,7.95,"United Kingdom","0",85,0.7,0.64,0.88,827.38
4,0,4,564,141,0,47,12.75,0,0,1070.24,0,0,1.89758865248227,0,"United Kingdom","1",7,0.11,0.75,0.04,1884.51
4,2,6,2577,644.25,-6,4,1,3,1.5,2435.01,-71.92,2363.09,0.944901047729919,11.9866666666667,"United Kingdom","0",47,0.48,0.87,0.94,1424
2,1,3,370,185,-6,28,14,1,1,340.04,-22.5,317.54,0.919027027027027,3.75,"United Kingdom","1",50,0.51,0.64,0.75,107.6
2,3,5,347,173.5,-7,36,19.5,5,1.66666666666667,608.4,-19.32,589.08,1.75331412103746,2.76,"United Kingdom","1",113,0.8,0.82,0.8,811.8
18,3,21,20200,1122.22222222222,-675,358,28.6111111111111,9,3,43892.23,-2561.25,41330.98,2.17288267326733,3.79444444444444,"EIRE","1",15,0.23,0.99,1,71883.61
1,0,1,190,190,0,17,17,0,0,308.28,0,0,1.62252631578947,0,"United Kingdom","0",180,0.99,0.02,0.04,312.95
5,3,8,509,101.8,-9,94,24,9,3,1044.89,-36.3,1008.59,2.05282907662083,4.03333333333333,"United Kingdom","0",12,0.19,0.92,0.86,115.15
14,0,14,1296,92.5714285714286,0,148,20,0,0,2307,0,0,1.78009259259259,0,"United Kingdom","0",11,0.17,0.98,0.05,3266.59
2,1,3,335,167.5,-3,51,26.5,2,2,899.63,-37.65,861.98,2.68546268656716,12.55,"United Kingdom","1",4,0.04,0.64,0.84,-13.5
32,5,37,13970,436.5625,-364,95,6.125,33,13.2,22292.52,-692.33,21600.19,1.59574230493916,1.90200549450549,"United Kingdom","1",4,0.04,1,1,14752.68
1,1,2,248,248,-3,20,20,2,2,303.57,-6.65,296.92,1.22407258064516,2.21666666666667,"United Kingdom","0",167,0.93,0.43,0.74,338.84
1,1,2,18,18,-4,5,5,2,2,115.7,-14.5,101.2,6.42777777777778,3.625,"United Kingdom","0",53,0.52,0.43,0.7,218.27
1,0,1,1,1,0,1,1,0,0,295,0,0,295,0,"United Kingdom","0",180,0.99,0.02,0.05,319.77
5,1,6,826,165.2,-1,102,30.2,1,1,1625.94,-9.95,1615.99,1.96845036319613,9.95,"United Kingdom","1",30,0.39,0.87,0.91,1828.12
1,0,1,96,96,0,3,3,0,0,37.2,0,0,0.3875,0,"United Kingdom","0",180,0.99,0.02,0.05,15
4,3,7,2937,734.25,-27,50,20.5,3,1.33333333333333,3396.68,-186.88,3209.8,1.15651344909772,6.92148148148148,"United Kingdom","1",7,0.1,0.9,0.96,1200.34
2,2,4,500,250,-18,50,27.5,7,4,964.48,-83.6,880.88,1.92896,4.64444444444444,"United Kingdom","0",75,0.66,0.75,0.84,1025.19
2,0,2,144,72,0,13,6.5,0,0,298.52,0,0,2.07305555555556,0,"United Kingdom","0",180,0.99,0.43,0.05,611.44
1,0,1,38,38,0,3,3,0,0,189.3,0,0,4.98157894736842,0,"United Kingdom","0",180,0.99,0.02,0.05,301.56
20,0,20,303,15.15,0,145,8,0,0,874.39,0,0,2.88577557755776,0,"United Kingdom","0",4,0.05,0.99,0.05,422.05
7,4,11,446,63.7142857142857,-6,121,28.7142857142857,5,1.5,1365.3,-49.7,1315.6,3.06121076233184,8.28333333333333,"United Kingdom","1",8,0.12,0.96,0.89,274.52
2,0,2,420,210,0,19,10.5,0,0,500.55,0,0,1.19178571428571,0,"United Kingdom","0",97,0.75,0.43,0.05,639.18
1,0,1,106,106,0,3,3,0,0,397.5,0,0,3.75,0,"United Kingdom","0",179,0.98,0.02,0.05,6933.3
2,1,3,438,219,-1,19,9.5,1,1,1660.9,-29.95,1630.95,3.79200913242009,29.95,"United Kingdom","0",110,0.79,0.64,0.91,-436.2
2,2,4,510,255,-8,18,11,5,2.5,629.1,-21,608.1,1.23352941176471,2.625,"United Kingdom","1",49,0.5,0.75,0.81,1077.47
5,3,8,942,188.4,-24,75,19,6,2,1668.07,-98.7,1569.37,1.77077494692144,4.1125,"United Kingdom","1",4,0.05,0.92,0.91,3787.49
1,0,1,54,54,0,17,17,0,0,128.03,0,0,2.37092592592593,0,"United Kingdom","1",179,0.98,0.03,0.05,144.45
3,0,3,656,218.666666666667,0,30,14.6666666666667,0,0,1479.3,0,0,2.25503048780488,0,"Switzerland","0",67,0.61,0.64,0.05,2008.45
12,0,12,1220,101.666666666667,0,131,17.4166666666667,0,0,1939.73,0,0,1.58994262295082,0,"United Kingdom","1",30,0.39,0.97,0.05,1905.9
3,1,4,260,86.6666666666667,-1,44,18.6666666666667,1,1,822.18,-16.95,805.23,3.16223076923077,16.95,"United Kingdom","1",44,0.47,0.75,0.84,2215.42
1,1,2,79,79,-9,10,10,3,3,303.5,-56.95,246.55,3.84177215189873,6.32777777777778,"Germany","0",159,0.9,0.43,0.72,461.82
1,0,1,86,86,0,63,63,0,0,217.26,0,0,2.52627906976744,0,"United Kingdom","0",179,0.98,0.03,0.05,525.17
9,4,13,6600,733.333333333333,-41,64,17.1111111111111,15,5.75,14533.88,-157.93,14375.95,2.20210303030303,3.85195121951219,"United Kingdom","0",6,0.08,0.97,1,12556.39
3,0,3,542,180.666666666667,0,86,30.3333333333333,0,0,590.54,0,0,1.08955719557196,0,"United Kingdom","0",119,0.82,0.64,0.05,104.53
3,0,3,1958,652.666666666667,0,9,4.66666666666667,0,0,4854.62,0,0,2.47937691521961,0,"Spain","0",64,0.59,0.64,0.05,7136.34
5,0,5,363,72.6,0,89,18.8,0,0,473.94,0,0,1.30561983471074,0,"United Kingdom","0",7,0.1,0.82,0.05,528.96
4,0,4,1234,308.5,0,100,26.75,0,0,2372.29,0,0,1.92243922204214,0,"United Kingdom","1",20,0.28,0.75,0.05,2414.7
5,0,5,641,128.2,0,61,17.2,0,0,1599.65,0,0,2.49555382215289,0,"United Kingdom","1",5,0.06,0.82,0.05,301.24
5,0,5,870,174,0,84,19.4,0,0,1552.51,0,0,1.78449425287356,0,"United Kingdom","1",22,0.31,0.83,0.06,941.95
6,1,7,336,56,-1,16,5.16666666666667,1,1,1315.96,-18,1297.96,3.91654761904762,18,"Germany","0",12,0.17,0.9,0.89,1283.08
22,2,24,4802,218.272727272727,-812,10,1.5,6,3,12418.62,-1516.25,10902.37,2.58613494377343,1.86730295566502,"United Kingdom","1",0,0.01,1,1,22463.88
13,1,14,2856,219.692307692308,-96,7,1.07692307692308,1,1,9058.8,-480,8578.8,3.1718487394958,5,"United Kingdom","1",0,0.02,0.98,0.99,44172.04
