"","Orders_Unique","Returns_Unique","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Y_Income","RFMSeg"
"68",3,3,897,299,-6,62,22.3333333333333,4,1.33333333333333,1035.27,-164.8,1.15414715719064,27.4666666666667,"United Kingdom","0",28,536.82,"2"
"69",5,1,177,35.4,-1,14,4.4,1,1,462.58,-9.95,2.61344632768362,9.95,"United Kingdom","1",33,1,"2"
"71",4,2,467,116.75,-12,46,13.75,4,4,1073.07,-27,2.29779443254818,2.25,"United Kingdom","1",34,1609.15,"2"
"73",1,0,19,19,0,5,5,0,0,81.75,0,4.30263157894737,0,"United Kingdom","0",181,99.1,"1"
"75",7,2,725,103.571428571429,-23,31,6,2,1,3111.6,-174.03,4.29186206896552,7.56652173913044,"United Kingdom","0",46,5751.82,"2"
"77",2,0,410,205,0,13,9.5,0,0,495.3,0,1.2080487804878,0,"United Kingdom","0",169,905.04,"1"
"78",6,2,899,149.833333333333,-3,72,17.5,2,1,1797.47,-9.65,1.99941045606229,3.21666666666667,"United Kingdom","1",4,2275.28,"1"
"79",3,0,775,258.333333333333,0,125,52.3333333333333,0,0,1042.68,0,1.3453935483871,0,"United Kingdom","0",57,1575.47,"1"
"80",3,2,210,70,-4,15,6,1,1,635.92,-18.6,3.02819047619048,4.65,"United Kingdom","1",7,672.69,"1"
"81",2,1,980,490,-36,17,9.5,1,1,2118.96,-75.6,2.16220408163265,2.1,"United Kingdom","0",105,2869.05,"2"
"82",11,5,3521,320.090909090909,-37,71,13.4545454545455,6,1.6,4493.82,-76.95,1.27629082646975,2.07972972972973,"United Kingdom","0",8,4157.24,"2"
"83",8,0,2515,314.375,0,67,10.375,0,0,2121.26,0,0.843443339960239,0,"United Kingdom","0",28,2569.05,"1"
"84",13,12,3037,233.615384615385,-142,82,13.6923076923077,29,3.5,8361.92,-658.28,2.75334869937438,4.63577464788732,"Others","1",12,11001.88,"2"
"86",9,2,1726,191.777777777778,-37,127,17.6666666666667,4,2,3340.6,-247.95,1.93545770567787,6.70135135135135,"United Kingdom","0",11,2752.79,"2"
"87",3,2,733,244.333333333333,-26,62,22.3333333333333,2,1,1166.21,-50.3,1.59100954979536,1.93461538461538,"United Kingdom","1",21,1307.16,"1"
"88",4,3,240,60,-10,40,11.75,6,2.66666666666667,1016.6,-65.2,4.23583333333333,6.52,"United Kingdom","1",5,7.5,"1"
"89",3,1,745,248.333333333333,-3,58,23,2,2,1173.19,-13.45,1.57475167785235,4.48333333333333,"United Kingdom","1",11,2012.3,"1"
"90",3,1,206,68.6666666666667,-2,31,12.6666666666667,2,2,497.05,-6.3,2.4128640776699,3.15,"United Kingdom","0",168,924.24,"2"
"91",13,1,2404,184.923076923077,-9,147,18.4615384615385,2,2,2551.61,-22.25,1.06140183028286,2.47222222222222,"United Kingdom","0",21,1545.76,"2"
"92",3,0,590,196.666666666667,0,41,17.3333333333333,0,0,1445.62,0,2.45020338983051,0,"United Kingdom","1",11,2944.19,"0"
"93",1,0,106,106,0,16,16,0,0,288.5,0,2.72169811320755,0,"United Kingdom","0",180,1278.98,"1"
"95",4,0,474,118.5,0,37,9.5,0,0,882.6,0,1.8620253164557,0,"United Kingdom","1",11,898.17,"0"
"97",1,0,40,40,0,4,4,0,0,127.2,0,3.18,0,"United Kingdom","0",180,213.73,"1"
"99",4,0,240,60,0,39,11.5,0,0,500.34,0,2.08475,0,"United Kingdom","1",13,548.72,"0"
"101",4,0,1376,344,0,84,31,0,0,1759.47,0,1.27868459302326,0,"United Kingdom","1",19,1783.04,"1"
"102",9,3,1610,178.888888888889,-15,38,10.6666666666667,3,1,2613.04,-23.65,1.62300621118012,1.57666666666667,"United Kingdom","0",12,2199.38,"2"
"103",1,2,5,5,-10,2,2,2,2,24.95,-49.9,4.99,4.99,"United Kingdom","0",140,1152.52,"1"
"104",16,0,16515,1032.1875,0,39,4.6875,0,0,13818.13,0,0.83670178625492,0,"United Kingdom","0",11,6454.3,"1"
"105",9,4,369,41,-24,38,6.33333333333333,11,3.25,911.69,-159.31,2.47070460704607,6.63791666666667,"United Kingdom","1",20,889.1,"2"
"106",15,6,484,32.2666666666667,-9,94,11.4,8,1.33333333333333,3284.47,-107.75,6.78609504132231,11.9722222222222,"United Kingdom","0",13,1464.05,"2"
"107",6,0,611,101.833333333333,0,55,9.83333333333333,0,0,751.37,0,1.22973813420622,0,"United Kingdom","0",25,233.54,"1"
"108",1,0,102,102,0,48,49,0,0,196.43,0,1.92578431372549,0,"United Kingdom","0",180,365.98,"1"
"109",1,0,195,195,0,35,35,0,0,261.76,0,1.34235897435897,0,"United Kingdom","0",180,201.45,"1"
"110",3,0,315,105,0,17,8.33333333333333,0,0,1035.65,0,3.28777777777778,0,"United Kingdom","1",88,1236.75,"1"
"111",1,0,126,126,0,10,10,0,0,341.9,0,2.71349206349206,0,"United Kingdom","0",180,208.16,"1"
"112",1,0,75,75,0,12,12,0,0,100.2,0,1.336,0,"United Kingdom","0",180,1151.64,"1"
"113",2,0,333,166.5,0,98,52.5,0,0,399.91,0,1.20093093093093,0,"United Kingdom","0",54,485.89,"1"
"115",8,0,758,94.75,0,61,9,0,0,1031.63,0,1.36098944591029,0,"United Kingdom","0",55,184.19,"1"
"116",4,0,925,231.25,0,45,16,0,0,1047.21,0,1.13211891891892,0,"United Kingdom","0",19,2944.73,"1"
"117",5,0,888,177.6,0,39,11,0,0,1512.72,0,1.70351351351351,0,"United Kingdom","1",74,1643.11,"1"
"119",2,0,197,98.5,0,20,13,0,0,386.85,0,1.96370558375635,0,"United Kingdom","0",48,575.54,"0"
"121",29,5,15829,545.827586206897,-222,55,8.37931034482759,3,1,30722.92,-184.8,1.94092614820898,0.832432432432432,"United Kingdom","1",19,23690.62,"2"
"122",2,1,142,71,-1,18,10,1,1,318.3,-3.75,2.24154929577465,3.75,"United Kingdom","0",35,274.6,"1"
"124",3,0,286,95.3333333333333,0,125,47.6666666666667,0,0,563.54,0,1.97041958041958,0,"United Kingdom","1",166,112.1,"1"
"125",4,1,365,91.25,-12,82,25,1,1,649.38,-25.2,1.77912328767123,2.1,"United Kingdom","1",44,107.72,"2"
"126",3,0,1022,340.666666666667,0,64,25,0,0,1655,0,1.61937377690802,0,"United Kingdom","0",100,612.4,"1"
"127",4,0,611,152.75,0,69,20.5,0,0,687.58,0,1.12533551554828,0,"United Kingdom","0",15,1218.51,"1"
"128",2,2,290,145,-38,26,13,3,1.5,385.33,-52.9,1.32872413793103,1.39210526315789,"United Kingdom","0",167,312.22,"2"
"129",4,0,358,89.5,0,30,8.75,0,0,709.82,0,1.9827374301676,0,"United Kingdom","0",4,548.24,"0"
"130",11,3,3026,275.090909090909,-218,83,12.0909090909091,7,2.33333333333333,7904.56,-1236.22,2.6122141440846,5.67073394495413,"United Kingdom","1",4,7966.3,"2"
"132",39,2,3376,86.5641025641026,-49,60,3.43589743589744,2,1,4638.22,-39.5,1.37388033175355,0.806122448979592,"United Kingdom","0",4,6331.54,"2"
"133",2,1,406,203,-3,151,81,2,2,1272.77,-23.85,3.13490147783251,7.95,"United Kingdom","0",85,827.38,"2"
"135",4,2,2577,644.25,-6,4,1,3,1.5,2435.01,-71.92,0.944901047729919,11.9866666666667,"United Kingdom","0",47,1424,"2"
"136",2,1,370,185,-6,28,14,1,1,340.04,-22.5,0.919027027027027,3.75,"United Kingdom","1",50,107.6,"1"
"137",2,3,347,173.5,-7,36,19.5,5,1.66666666666667,608.4,-19.32,1.75331412103746,2.76,"United Kingdom","1",113,811.8,"2"
"138",18,3,20200,1122.22222222222,-675,358,28.6111111111111,9,3,43892.23,-2561.25,2.17288267326733,3.79444444444444,"Others","1",15,71883.61,"2"
"139",1,0,190,190,0,17,17,0,0,308.28,0,1.62252631578947,0,"United Kingdom","0",180,312.95,"1"
"140",5,3,509,101.8,-9,94,24,9,3,1044.89,-36.3,2.05282907662083,4.03333333333333,"United Kingdom","0",12,115.15,"1"
"141",14,0,1296,92.5714285714286,0,148,20,0,0,2307,0,1.78009259259259,0,"United Kingdom","0",11,3266.59,"1"
"142",2,1,335,167.5,-3,51,26.5,2,2,899.63,-37.65,2.68546268656716,12.55,"United Kingdom","1",4,1,"1"
"144",1,1,248,248,-3,20,20,2,2,303.57,-6.65,1.22407258064516,2.21666666666667,"United Kingdom","0",167,338.84,"2"
"146",1,0,1,1,0,1,1,0,0,295,0,295,0,"United Kingdom","0",180,319.77,"1"
"148",1,0,96,96,0,3,3,0,0,37.2,0,0.3875,0,"United Kingdom","0",180,15,"1"
"149",4,3,2937,734.25,-27,50,20.5,3,1.33333333333333,3396.68,-186.88,1.15651344909772,6.92148148148148,"United Kingdom","1",7,1200.34,"1"
"150",2,2,500,250,-18,50,27.5,7,4,964.48,-83.6,1.92896,4.64444444444444,"United Kingdom","0",75,1025.19,"2"
"151",2,0,144,72,0,13,6.5,0,0,298.52,0,2.07305555555556,0,"United Kingdom","0",180,611.44,"1"
"153",20,0,303,15.15,0,145,8,0,0,874.39,0,2.88577557755776,0,"United Kingdom","0",4,422.05,"1"
"157",2,1,438,219,-1,19,9.5,1,1,1660.9,-29.95,3.79200913242009,29.95,"United Kingdom","0",110,1,"2"
"158",2,2,510,255,-8,18,11,5,2.5,629.1,-21,1.23352941176471,2.625,"United Kingdom","1",49,1077.47,"2"
"159",5,3,942,188.4,-24,75,19,6,2,1668.07,-98.7,1.77077494692144,4.1125,"United Kingdom","1",4,3787.49,"1"
"161",3,0,656,218.666666666667,0,30,14.6666666666667,0,0,1479.3,0,2.25503048780488,0,"Others","0",67,2008.45,"1"
"164",1,1,79,79,-9,10,10,3,3,303.5,-56.95,3.84177215189873,6.32777777777778,"Others","0",159,461.82,"2"
"165",1,0,86,86,0,63,63,0,0,217.26,0,2.52627906976744,0,"United Kingdom","0",179,525.17,"1"
"166",9,4,6600,733.333333333333,-41,64,17.1111111111111,15,5.75,14533.88,-157.93,2.20210303030303,3.85195121951219,"United Kingdom","0",6,12556.39,"2"
"168",3,0,1958,652.666666666667,0,9,4.66666666666667,0,0,4854.62,0,2.47937691521961,0,"Others","0",64,7136.34,"1"
"169",5,0,363,72.6,0,89,18.8,0,0,473.94,0,1.30561983471074,0,"United Kingdom","0",7,528.96,"0"
"170",4,0,1234,308.5,0,100,26.75,0,0,2372.29,0,1.92243922204214,0,"United Kingdom","1",20,2414.7,"1"
"173",6,1,336,56,-1,16,5.16666666666667,1,1,1315.96,-18,3.91654761904762,18,"Others","0",12,1283.08,"1"
"174",22,2,4802,218.272727272727,-812,10,1.5,6,3,12418.62,-1516.25,2.58613494377343,1.86730295566502,"United Kingdom","1",0,22463.88,"2"
"175",13,1,2856,219.692307692308,-96,7,1.07692307692308,1,1,9058.8,-480,3.1718487394958,5,"United Kingdom","1",0,44172.04,"1"
"176",6,1,1381,230.166666666667,-9,68,17.1666666666667,3,3,2974.41,-14.39,2.15380883417813,1.59888888888889,"Others","0",6,908.68,"1"
"177",3,0,829,276.333333333333,0,87,37.6666666666667,0,0,1668.52,0,2.01268998793727,0,"United Kingdom","1",112,149.02,"1"
"181",5,1,876,175.2,-4,35,8,1,1,2869.02,-43.8,3.27513698630137,10.95,"United Kingdom","1",2,835.85,"1"
"182",8,3,622,77.75,-17,48,10.25,7,2.66666666666667,2267.48,-129.5,3.64546623794212,7.61764705882353,"Others","0",8,2103.65,"2"
"183",6,1,243,40.5,-24,58,12.5,5,5,1191.75,-202.8,4.90432098765432,8.45,"United Kingdom","1",18,1224.16,"2"
"185",2,0,242,121,0,73,38.5,0,0,521.66,0,2.15561983471074,0,"United Kingdom","1",173,170.56,"1"
"186",8,0,594,74.25,0,177,28.5,0,0,1347.25,0,2.26809764309764,0,"United Kingdom","0",14,2371.85,"1"
"190",6,2,1491,248.5,-4,59,13.1666666666667,2,1,1569.72,-17.8,1.0527967806841,4.45,"Others","1",19,1446.36,"2"
"192",7,4,9624,1374.85714285714,-84,365,82.2857142857143,19,4.75,14463.51,-264.45,1.50285847880299,3.14821428571429,"United Kingdom","1",12,13765.42,"2"
"193",1,0,75,75,0,31,31,0,0,135.33,0,1.8044,0,"United Kingdom","0",179,153.64,"1"
"194",11,2,1051,95.5454545454545,-4,91,12.7272727272727,4,2,2776.5,-30.1,2.64176974310181,7.525,"United Kingdom","1",44,5745.35,"2"
"196",5,2,755,151,-5,87,35.4,5,2.5,1957.21,-16.22,2.59233112582781,3.244,"United Kingdom","1",26,1259.74,"2"
"197",51,13,14678,287.803921568627,-217,440,17.2745098039216,12,1.76923076923077,27876.19,-1249.05,1.89918176863333,5.75599078341014,"United Kingdom","1",5,30694.99,"2"
"201",6,1,1113,185.5,-5,119,25.3333333333333,3,3,3362.53,-32.05,3.02114106019766,6.41,"United Kingdom","1",11,3398.81,"2"
"203",11,2,859,78.0909090909091,-10,92,17.1818181818182,6,3.5,2471.68,-73.25,2.87739231664726,7.325,"United Kingdom","1",2,5478.84,"1"
"204",13,1,2344,180.307692307692,-214,202,20.6923076923077,21,21,2526.86,-330.34,1.07801194539249,1.54364485981308,"United Kingdom","0",6,1516.62,"1"
"205",4,0,368,92,0,131,45.25,0,0,828.56,0,2.25152173913043,0,"United Kingdom","1",20,1761.75,"1"
"206",6,3,2481,413.5,-20,183,42.5,6,2,3187.65,-99.25,1.28482466747279,4.9625,"United Kingdom","0",28,1139.99,"2"
"207",13,3,3555,273.461538461538,-19,70,8.92307692307692,4,1.33333333333333,6641.19,-69.24,1.86812658227848,3.64421052631579,"United Kingdom","1",4,8785.83,"2"
"209",9,0,1221,135.666666666667,0,256,45.2222222222222,0,0,1903.11,0,1.55864864864865,0,"United Kingdom","1",2,2651.76,"1"
"210",12,0,1585,132.083333333333,0,95,17.8333333333333,0,0,4097.86,0,2.58540063091483,0,"United Kingdom","1",0,2310.34,"1"
"213",8,0,610,76.25,0,81,21.125,0,0,1276.15,0,2.09204918032787,0,"United Kingdom","1",6,809.18,"1"
"214",11,0,794,72.1818181818182,0,28,3.54545454545455,0,0,2155.28,0,2.71445843828715,0,"United Kingdom","0",25,4520.43,"1"
"217",3,0,158,52.6666666666667,0,60,25.6666666666667,0,0,614.1,0,3.88670886075949,0,"United Kingdom","0",121,75.9,"1"
"219",1,0,68,68,0,50,50,0,0,186.88,0,2.74823529411765,0,"United Kingdom","0",177,488.76,"1"
"220",3,1,448,149.333333333333,-13,38,13.6666666666667,1,1,622.34,-11.05,1.38915178571429,0.85,"United Kingdom","0",76,1283.53,"2"
"222",4,0,1618,404.5,0,119,52.5,0,0,2469.64,0,1.52635352286774,0,"United Kingdom","0",7,1350.63,"0"
"223",5,1,745,149,-13,96,24.8,2,2,1253.94,-17.55,1.68314093959732,1.35,"United Kingdom","1",41,1063.28,"2"
"224",1,0,25,25,0,3,3,0,0,33.15,0,1.326,0,"United Kingdom","1",177,121.68,"1"
"225",8,1,933,116.625,-9,169,27.5,7,7,2508.72,-55.55,2.68887459807074,6.17222222222222,"United Kingdom","1",14,1640.1,"2"
"226",6,0,2140,356.666666666667,0,29,7.16666666666667,0,0,2604.8,0,1.21719626168224,0,"United Kingdom","0",69,2535.86,"1"
"228",3,0,1118,372.666666666667,0,48,22,0,0,1371.9,0,1.22710196779964,0,"United Kingdom","0",62,1788.1,"1"
"229",1,0,69,69,0,19,20,0,0,128.55,0,1.86304347826087,0,"United Kingdom","0",177,83.15,"1"
"231",4,0,174,43.5,0,26,7.5,0,0,784.37,0,4.50787356321839,0,"United Kingdom","0",41,1849.48,"1"
"232",2,1,255,127.5,-1,101,55,1,1,634.13,-4.95,2.48678431372549,4.95,"United Kingdom","0",65,757.4,"2"
"233",7,1,763,109,-12,52,10.4285714285714,6,6,2302.31,-52.9,3.01744429882045,4.40833333333333,"Others","0",7,1420.51,"1"
"234",9,0,960,106.666666666667,0,175,25.5555555555556,0,0,1752.55,0,1.82557291666667,0,"United Kingdom","1",4,2042.74,"1"
"235",2,0,213,106.5,0,70,41.5,0,0,554.16,0,2.60169014084507,0,"United Kingdom","0",91,1406.49,"1"
"236",5,2,1302,260.4,-15,194,51.8,11,6,1650.69,-30.82,1.26781105990783,2.05466666666667,"United Kingdom","1",9,3128.02,"1"
"237",1,0,116,116,0,11,11,0,0,165.86,0,1.4298275862069,0,"United Kingdom","0",177,476.91,"1"
"241",10,2,1911,191.1,-8,118,15.5,2,1,2341.77,-23.95,1.22541601255887,2.99375,"Others","0",0,3395.46,"1"
"242",26,14,18048,694.153846153846,-970,50,7.19230769230769,7,1.28571428571429,17583.36,-533.98,0.974255319148936,0.550494845360825,"United Kingdom","0",4,16756.31,"2"
"243",6,0,708,118,0,33,9.16666666666667,0,0,2091.4,0,2.95395480225989,0,"United Kingdom","1",6,2104.61,"1"
"244",4,5,1856,464,-71,73,20.75,9,3,2640.46,-420.55,1.42266163793103,5.92323943661972,"United Kingdom","1",78,3321.55,"2"
"245",1,0,196,196,0,16,16,0,0,320.08,0,1.6330612244898,0,"Others","0",177,174,"1"
"247",3,1,293,97.6666666666667,-8,34,16.6666666666667,1,1,698.58,-39.6,2.38423208191126,4.95,"United Kingdom","1",67,750.74,"2"
"248",1,0,46,46,0,9,9,0,0,164.7,0,3.5804347826087,0,"United Kingdom","0",177,302.34,"1"
"249",2,0,927,463.5,0,178,110.5,0,0,2034.06,0,2.19423948220065,0,"United Kingdom","1",124,708.76,"1"
"250",4,0,1078,269.5,0,12,3.25,0,0,516.08,0,0.47873840445269,0,"United Kingdom","0",7,916.69,"0"
"251",11,6,3724,338.545454545455,-19,88,9.90909090909091,7,1.33333333333333,6245.08,-61.05,1.67698174006445,3.21315789473684,"United Kingdom","0",14,10017.34,"2"
"252",2,0,290,145,0,33,19,0,0,638.24,0,2.2008275862069,0,"United Kingdom","1",64,456.84,"1"
"254",13,3,4770,366.923076923077,-23,139,13,10,3.33333333333333,7288.82,-81.45,1.52805450733753,3.54130434782609,"United Kingdom","1",20,9871.08,"2"
"255",10,4,1077,107.7,-38,160,23.1,13,3.5,2261.06,-126.1,2.09940575673166,3.31842105263158,"United Kingdom","1",6,3176.12,"2"
"258",3,1,609,203,-31,51,17,3,3,771.13,-103.96,1.26622331691297,3.35354838709677,"United Kingdom","1",20,644.62,"1"
"260",1,0,349,349,0,11,11,0,0,300.66,0,0.861489971346705,0,"United Kingdom","0",176,250.38,"1"
"262",7,2,804,114.857142857143,-6,4,1.85714285714286,1,1,940.44,-6.36,1.16970149253731,1.06,"United Kingdom","1",13,774.78,"1"
"264",4,1,421,105.25,-2,67,18,1,1,997.94,-4.2,2.37040380047506,2.1,"United Kingdom","0",28,385.89,"2"
"265",2,0,192,96,0,14,8,0,0,366.15,0,1.90703125,0,"United Kingdom","0",64,573.17,"1"
"266",25,2,5759,230.36,-14,296,34.32,3,1.5,12876.96,-94.3,2.23597152283383,6.73571428571429,"United Kingdom","1",6,6855.93,"2"
"267",1,0,175,175,0,38,39,0,0,214.08,0,1.22331428571429,0,"United Kingdom","0",176,311.61,"1"
"268",3,0,178,59.3333333333333,0,46,17.6666666666667,0,0,420.26,0,2.36101123595506,0,"United Kingdom","1",40,544.9,"1"
"269",8,4,1869,233.625,-9,92,14.875,3,1,2156.07,-19.65,1.15359550561798,2.18333333333333,"United Kingdom","1",8,2467.89,"2"
"270",5,1,48,9.6,-1,5,2.4,1,1,381.6,-4.95,7.95,4.95,"United Kingdom","1",26,303.65,"2"
"271",2,1,254,127,-1,27,15.5,1,1,614.14,-8.95,2.41787401574803,8.95,"United Kingdom","1",26,96.14,"1"
"272",6,0,333,55.5,0,39,7.5,0,0,645.88,0,1.93957957957958,0,"United Kingdom","1",14,244.05,"1"
"273",8,7,1662,207.75,-39,117,19,20,3.57142857142857,2719.13,-130.72,1.63605896510229,3.35179487179487,"Others","1",8,4476.36,"2"
"275",2,0,120,60,0,58,29.5,0,0,254.25,0,2.11875,0,"United Kingdom","0",28,123.27,"0"
"276",4,0,1222,305.5,0,86,23,0,0,2104,0,1.72176759410802,0,"United Kingdom","0",13,2903.72,"1"
"278",1,1,94,94,-33,29,29,1,1,112.08,-64.35,1.19234042553191,1.95,"United Kingdom","0",173,388.95,"2"
"280",2,0,1258,629,0,63,37.5,0,0,745.26,0,0.59241653418124,0,"United Kingdom","0",56,2061.43,"1"
"281",13,5,1936,148.923076923077,-32,78,14.3846153846154,9,1.8,3838.46,-105.7,1.98267561983471,3.303125,"United Kingdom","1",4,5890.59,"2"
"282",10,1,1661,166.1,-1,204,28.5,1,1,2785.16,-12.75,1.67679711017459,12.75,"United Kingdom","1",6,1636.13,"1"
"284",1,0,119,119,0,14,14,0,0,185.97,0,1.5627731092437,0,"United Kingdom","0",176,441.16,"1"
"285",9,0,961,106.777777777778,0,122,27.6666666666667,0,0,2055.35,0,2.13876170655567,0,"United Kingdom","0",0,536.9,"1"
"287",3,0,658,219.333333333333,0,114,52.6666666666667,0,0,995.93,0,1.51357142857143,0,"United Kingdom","1",69,262.15,"1"
"289",5,2,1603,320.6,-2,59,17,2,1,1963.26,-3.1,1.22474111041797,1.55,"United Kingdom","0",8,2751.05,"1"
"290",11,2,2378,216.181818181818,-3,218,24.3636363636364,3,1.5,3894.25,-10,1.63761564339781,3.33333333333333,"United Kingdom","1",22,5280.79,"2"
"291",6,0,1089,181.5,0,211,43.3333333333333,0,0,1628.83,0,1.4957116620753,0,"United Kingdom","1",15,839.16,"1"
"293",5,0,356,71.2,0,61,14.2,0,0,775.33,0,2.17789325842697,0,"United Kingdom","1",41,1984.6,"1"
"294",3,0,575,191.666666666667,0,35,18,0,0,1107.41,0,1.92593043478261,0,"United Kingdom","1",0,1351.92,"0"
